DATE,GDP(십억원),GNI(십억원),GDP_GROWTH(%),KOSPI,국고채(3년)(%),국고채(10년)(%),뉴스심리지수,경제심리지수
1960-05-10,7878.4,9054.7,4.6,,,,,
1960-05-11,7878.4,9054.7,4.6,,,,,
1960-05-12,7878.4,9054.7,4.6,,,,,
1960-05-13,7878.4,9054.7,4.6,,,,,
1960-05-14,7878.4,9054.7,4.6,,,,,
1960-05-15,7878.4,9054.7,4.6,,,,,
1960-05-16,7878.4,9054.7,4.6,,,,,
1960-05-17,7878.4,9054.7,4.6,,,,,
1960-05-18,7878.4,9054.7,4.6,,,,,
1960-05-19,7878.4,9054.7,4.6,,,,,
1960-05-20,7878.4,9054.7,4.6,,,,,
1960-05-21,7878.4,9054.7,4.6,,,,,
1960-05-22,7878.4,9054.7,4.6,,,,,
1960-05-23,7878.4,9054.7,4.6,,,,,
1960-05-24,7878.4,9054.7,4.6,,,,,
1960-05-25,7878.4,9054.7,4.6,,,,,
1960-05-26,7878.4,9054.7,4.6,,,,,
1960-05-27,7878.4,9054.7,4.6,,,,,
1960-05-28,7878.4,9054.7,4.6,,,,,
1960-05-29,7878.4,9054.7,4.6,,,,,
1960-05-30,7878.4,9054.7,4.6,,,,,
1960-05-31,7878.4,9054.7,4.6,,,,,
1960-06-01,7878.4,9054.7,4.6,,,,,
1960-06-02,7878.4,9054.7,4.6,,,,,
1960-06-03,7878.4,9054.7,4.6,,,,,
1960-06-04,7878.4,9054.7,4.6,,,,,
1960-06-05,7878.4,9054.7,4.6,,,,,
1960-06-06,7878.4,9054.7,4.6,,,,,
1960-06-07,7878.4,9054.7,4.6,,,,,
1960-06-08,7878.4,9054.7,4.6,,,,,
1960-06-09,7878.4,9054.7,4.6,,,,,
1960-06-10,7878.4,9054.7,4.6,,,,,
1960-06-11,7878.4,9054.7,4.6,,,,,
1960-06-12,7878.4,9054.7,4.6,,,,,
1960-06-13,7878.4,9054.7,4.6,,,,,
1960-06-14,7878.4,9054.7,4.6,,,,,
1960-06-15,7878.4,9054.7,4.6,,,,,
1960-06-16,7878.4,9054.7,4.6,,,,,
1960-06-17,7878.4,9054.7,4.6,,,,,
1960-06-18,7878.4,9054.7,4.6,,,,,
1960-06-19,7878.4,9054.7,4.6,,,,,
1960-06-20,7878.4,9054.7,4.6,,,,,
1960-06-21,7878.4,9054.7,4.6,,,,,
1960-06-22,7878.4,9054.7,4.6,,,,,
1960-06-23,7878.4,9054.7,4.6,,,,,
1960-06-24,7878.4,9054.7,4.6,,,,,
1960-06-25,7878.4,9054.7,4.6,,,,,
1960-06-26,7878.4,9054.7,4.6,,,,,
1960-06-27,7878.4,9054.7,4.6,,,,,
1960-06-28,7878.4,9054.7,4.6,,,,,
1960-06-29,7878.4,9054.7,4.6,,,,,
1960-06-30,7878.4,9054.7,4.6,,,,,
1960-07-01,7788.8,8860.1,-1.1,,,,,
1960-07-02,7788.8,8860.1,-1.1,,,,,
1960-07-03,7788.8,8860.1,-1.1,,,,,
1960-07-04,7788.8,8860.1,-1.1,,,,,
1960-07-05,7788.8,8860.1,-1.1,,,,,
1960-07-06,7788.8,8860.1,-1.1,,,,,
1960-07-07,7788.8,8860.1,-1.1,,,,,
1960-07-08,7788.8,8860.1,-1.1,,,,,
1960-07-09,7788.8,8860.1,-1.1,,,,,
1960-07-10,7788.8,8860.1,-1.1,,,,,
1960-07-11,7788.8,8860.1,-1.1,,,,,
1960-07-12,7788.8,8860.1,-1.1,,,,,
1960-07-13,7788.8,8860.1,-1.1,,,,,
1960-07-14,7788.8,8860.1,-1.1,,,,,
1960-07-15,7788.8,8860.1,-1.1,,,,,
1960-07-16,7788.8,8860.1,-1.1,,,,,
1960-07-17,7788.8,8860.1,-1.1,,,,,
1960-07-18,7788.8,8860.1,-1.1,,,,,
1960-07-19,7788.8,8860.1,-1.1,,,,,
1960-07-20,7788.8,8860.1,-1.1,,,,,
1960-07-21,7788.8,8860.1,-1.1,,,,,
1960-07-22,7788.8,8860.1,-1.1,,,,,
1960-07-23,7788.8,8860.1,-1.1,,,,,
1960-07-24,7788.8,8860.1,-1.1,,,,,
1960-07-25,7788.8,8860.1,-1.1,,,,,
1960-07-26,7788.8,8860.1,-1.1,,,,,
1960-07-27,7788.8,8860.1,-1.1,,,,,
1960-07-28,7788.8,8860.1,-1.1,,,,,
